idPartido;temporada;division;jornada;EquipoLocal;EquipoVisitante;golesLocal;golesVisitante;fecha;timestamp
1;1970-71;1;1;Athletic Club;Barcelona;1;1;12/09/1970
2;1970-71;1;1;Las Palmas;Atl�tico de Madrid;1;1;12/09/1970
3;1970-71;1;1;Real Madrid;Valencia;2;0;12/09/1970
4;1970-71;1;1;Celta de Vigo;Sporting de Gij�n;2;0;13/09/1970
5;1970-71;1;1;Elche;Granada;1;1;13/09/1970
6;1970-71;1;1;Espanyol;Sevilla;0;1;13/09/1970
7;1970-71;1;1;Sabadell;Real Sociedad;0;0;13/09/1970
8;1970-71;1;1;Zaragoza;M�laga;0;0;13/09/1970
9;1970-71;1;2;Valencia;Las Palmas;5;1;19/09/1970
10;1970-71;1;2;Atl�tico de Madrid;Athletic Club;2;0;20/09/1970
11;1970-71;1;2;Barcelona;Zaragoza;5;2;20/09/1970
12;1970-71;1;2;Sporting de Gij�n;Sabadell;3;2;20/09/1970
13;1970-71;1;2;Granada;Espanyol;1;0;20/09/1970
14;1970-71;1;2;M�laga;Celta de Vigo;2;1;20/09/1970
15;1970-71;1;2;Real Sociedad;Elche;2;0;20/09/1970
16;1970-71;1;2;Sevilla;Real Madrid;3;1;20/09/1970
17;1970-71;1;3;Las Palmas;Athletic Club;1;1;26/09/1970
18;1970-71;1;3;Real Madrid;Granada;3;2;26/09/1970
19;1970-71;1;3;Valencia;Sevilla;0;1;26/09/1970
20;1970-71;1;3;Celta de Vigo;Barcelona;1;1;27/09/1970
21;1970-71;1;3;Elche;Sporting de Gij�n;5;0;27/09/1970
22;1970-71;1;3;Espanyol;Real Sociedad;0;0;27/09/1970
23;1970-71;1;3;Sabadell;M�laga;5;2;27/09/1970
24;1970-71;1;3;Zaragoza;Atl�tico de Madrid;0;1;27/09/1970
25;1970-71;1;4;Athletic Club;Zaragoza;3;0;04/10/1970
26;1970-71;1;4;Atl�tico de Madrid;Celta de Vigo;3;1;04/10/1970
